"ID
",texto,likesCount,Reproduciones,locationname,Comments,número de DM #menysviolencia,Robo de identidad,Interacciones reiteradas sin consentimiento,Difusión malintencionada,Ataques coordinados,Vigilancia y control,Captación,Hacer de menos,Promoción del machismo,Desamparo,número DM #mesigualtat,Conoce instagram,Evita normalizar la violencia,Cuentalo (y Denuncia),Cuida y apoya a tus amigas,Comparte contenido feminista
12,Los golpes invisibles duelen mas #quieretequenoduele,578,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
13,"El abusador en pausa esperará, a enamorarte lo suficiente como para manipularte cada día, pagarás de a poco todo. Se hará la victima de us pasado, te hará sentir sometida, lentamente, hasta que empiece a gritarte, apocarte, postergarte, pobre d eti que no ves donde te metiste. ",145,0,Chile,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
14,El maltrato psicologico refleja el miedo del agresor a las ideas que pueda plantear el otro. El miedo a perder el control. ,108,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
15,"La persona inmadura no sabe amar. Porque tampoco sabe lo que quiere en la vida.Un dia te ama y el otro te odia. Te insulta, te agrede, te lastima, luego se arrepiente, pide perdon, promete cambiar... y lo vuelve a hacer.   Quizás sientes mucho ampr por alguien asi, pero debes comprerder, que nunca te hará feliz. Siempre te hará sufrir. Porque amor que se mendiga no es amor, es falta de dignidad. Nunca es tarde para volver a vivir.  ",77,0,Perú,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
16,"Te dice que te ama, pero te grita, te insulta, te humilla, te anula, no presta atención a tus necesidades, y además te culpa de todo, esto jamás será amor.  ",234,0,Panamá ,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
17,Ni golpes que duelan ni palabras que hieran,208,0,Lugo,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
18,"Existe un tipo de maltrato sutil que te hace creer que estas loca /o que el problema es tuyo, que tus sentimientos y juicios no valen nada y que te hace dudar todo. Hasta de ti mismo. ",532,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
19,"Si es que eres tonat, eres una exagerada, no te vas sin mi, eres loca, tu culpa, estas fea...Las palabras tambien dejan marca",1532,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
20,Como detectar a un maltartador en 13 pasos: Te hacen sentir culpable constantemente. Se enfada si no estas disponible. Te chantajea a menudo....,1148,0,"Santiago de Chile, Chile",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
21,She said vs He said,7,0,Argentina,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
22,"Veo mucha gente diciendo ""que pesadas las feministas todo el día contra el machismo"" pero no veo a nadie diciendo ""que pesados los machistas todo el día menospreciando, maltratando, violando y matando mujeres"" ",323,0,Panama,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
23,Pues cierre las patas señora. Hagase responsable de su calentura. Su bebe no tiene la culpa de que usted sea una caliente. Quien le manda a abrir las piernas. ,275,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
24,"No veo  ningun motivo para una orden de ayanamiento, El amor no duele",839,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
25,Piden cadena perpetua para esta joven por matar al hombre que la violaba y prostituia cuando era menor ,5269,0,"Catalunya, España",375,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,Vive sin electricidad los enchifes violan a las enchufas,0,0,desconocido,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,Parace que esta. Estoy embarazada? No pero parece!,0,0,desconocido,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,Cuando le acertas al nido pero no al pájaro ,0,0,desconocido,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,Todas las pasiones de un hombre en una sola foto,0,0,desconocido,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,Sin texto,0,0,desconocido,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,Sin texto,0,0,"Catalunya, España",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,If you´d tried hating your body and it´s gotten you nowhere. Why not trying loving it and see what happens?,349,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
33,Hija camina como una señorita. Esta bien mamá. ,2859,0,desconocido,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,¿Quieres una muñeca que llore para tu cumple? No una que luche por sus derechos. ,29,0,"Mérida, Badajoz",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
35,¿Qué enseñarles a los niños? Si es niño Si es niña,275,0,desconocido,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
36,A ver si acabamos ya con eso de que hay juguetes y deportes de niños y de niñas ,581,0,"Barcelona, España",28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
37,Antes de ser género somos humanos ,645,0,desconocido,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
38,"Todo es chiste hasta que matan a tu flaca, violan a tu hermana, desaparecen a tu madre, es ahí cuando dejarás de burlarte, es ahí cuando cambiarás los memes por imágenes se de sus fotos y el tiyulo de ""se busca""",1632,0,"Santiago de Chile, Chile",20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
39,Educar a la generación futura es el camino a seguir,0,36424,España ,59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
40,"El padre no ayuda, ejerce la paternidad",1703,0,"Buenos Aires, Argentina",207,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
41,Patriarcado. Lo hago porque quiero,369,0,"Catalunya, España",11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
42,51 mujeres asesinadas 40 no denunciaron ¿qué pasa con la ley de violencia de género?,72,0,"Catalunya, España",8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,El feminismo no trata de hacer a las mujeres fuertes: Ellas ya lo son. Trata de cambiar la forma en que el mundo percibe esa fuerza. GD Anderson ,632,0,"Catalunya, España",5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
44,Encuentran muerta chica desaparecida hace 6 días? #vivasnosqueremos ,5574,0,desconocido,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,Si los hombres hubieran estado hasta 1931 sin poder votar podríamos hablar de violencia de género hacia los hombres ,4413,0,desconocido,137,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,Amiga ya llegue. Llegaste?,3197,0,desconocido,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,My eyes! My eyes! #Niunamenos,6644,0,desconocido,100,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,Acá les dejo la imagen de un hombre abortando ,10035,0,desconocido,229,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
49,Asesinan a una mujer cada 56 horas en Juarez,1050,0,Mexico,45,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,"Que una mujer acepte tener sexo a cambio de dinero demuestra que ella NO quiere tener sexo, ella quiere el dinero. El sexo es siempre con consentimiento, de otra forma es violación ",1212,,desconocido,86,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,Policia abusa sexualmente de adolescente en Museo CDMX. La menor narró a los elementos de seguridad que un policiía bancario había abusado de ella dentro del Museo Archivo de la Fotografía,473,0,Mexico,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,"Adulta mayor fue vuolada al interior de su domicilio, y a pesar de que recibió atención médica, murió horas después.  ",1251,0,México,38,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,Lo siento pero mi mama dijo que no hablara con violadores ,960,0,"Tijuana, México",23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,Violan a abuelita de 70 años en Iztapalapa ,1274,0,"Ciudad de México, Mexico",30,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,Estudie enfermeria pero los abusos de los doctores me hicieron no querer regresar,743,0,desconocido,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,"Porfis, podrian dejar de matarnos, es que no nos gusta",468,0,desconocido,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
57,Mentiras sobre la violencia de géner:Los que maltratan es que están enfermos. Si una mujer es maltratada continuamente es su culpa por seguir con el. No hay justificación al maltrato,652,0,desconocido,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58,"Explotación sexual, pornografía infantil y pedofilia. Academia de modelaje venezolana. Me van a disculpar pero esa niñas no eran recien nacidas ya sabian lo que hacían ",1269,0,desconocido,43,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,"Mi vecino tenía como 60 o más, el me tocaba y siempre me deciía que no le contara  a nadie. Yo nunca le dije a mi mama, porque mo entendía nada y me sentía asqueda",294,0,desconocido,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
60,"Uno de mis compañeros de trabajo pasaba al lado mio y me agarraba el trasero, al principio pense que era accidente pero cada vez que trabaja con el lo mismo, le dije que dejra de hacerlo pero nunca paró. ",193,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
61,"Cuando tenía14 años mi profesor de sociales me intentó violar, me dijo que si quería ganar lo tocara ",496,0,desconocido,16,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
62,"Cuando tenía unos 6-7 años cada vez que iba a una reunión familiar, siempre había un tio de unos 40 y pico, que me tocaba los senos como haciendome cosquillas cada vez que me veia ",229,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
63,"Violo a sus dos hijastras, embarazó a una y la hizo abortar con un palo. Bueno es el padrastro el que cuidaba de ellas, algo de derecho tiene: las pendejiotas tambien se habrán dejado no son ningunas santicas",1506,0,desconocido,125,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,"Hoy intentaron violarme, me llevaron a un parque, me pegaron, me patearon abdomen y piernas, carguen con gas pimienta niñas eso fue lo que me salvó.",1503,0,desconocido,55,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
65,Chiquillas He vistio esta páguina en FB os invito a reportarla ,703,0,desconocido,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
66,Como te chuparía todo. Ah ¿Si?,1716,0,desconocido,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
67,Violan a estudiante cerca de la Universidad. Juana: Wao que triste pero a esa hora no debió estar en la calle. Correcto Juana el violador no debía estar en la calle a esa hora,1050,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
68,"Pedí un Uber y me relajé viendo que era una mujer, cuando me estaba subiendo me dice ""sos una chica menos mal"". Bastante triste todo",2217,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
69,Una niña de 8 años muere durante la noche de bodas tras ser violada por su marido ,1923,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
70,"Sebastian Rulli se desviste para dar un mensaje, nadie lo juzga al contrario recibe piropos y demas. Mon Laferte muestra los pechos para dar un fuerte mensaje. Fue juzgada atacada y criticada. ",1399,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
71,Este momento fue vandalizado por su pareja en México,1264,0,Mexico,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,Papa hazlo por nosotros no maltrates,2181,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
73,Se hizo justicia! Fue condenado a a 30 años de prision (pena máxima) Femizida!,151,0,Venezuela ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
74,Ni una mas Por tu!,2928,0,Colombia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
75,La violaron en manada saliero libres y se quitó la vida de un disparo. Penas para los violadores. Ni una muerta mas!,275,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
76,I decide who i want to be ,405,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
77,"Quiero una mujer bien bonita, callada que no diga na.  Pues comoarte un tamagoshy y no amarhues a nadie en una relación de mierda. ",1047,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
78,La violación tiene que ver con la violencia no con el sexo. Si te golperan con una pala no lo llamarían jardineria. ,660,0,"San Telmo, Buenos Aires",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
79,Si te controla no es amor. Si te hace escenas de celo no es amor. Si no te deja hacer lo que te gusta no es amor....,3918,0,"Madrid, España",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
80,Anularon la tesis del estudiante que se burlo de los feminicidios ,4774,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
81,Y si yo desaparezco? Me buscatrían tambien¿ O solo darian por hecho que como soy hombre andaba en malos pasos. ,2712,0,desconocido,298,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
82,Descubrieron a un forense mientras violaba el cadaver de una nena,1951,0,"Panama, Argentina",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
83,"Violaron 7 hombres a una nena de 7 años, la dejaron en la ruta de noche, fue atopellada por una camioneta. ",85,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
84,"La culpa no era mía, ni donde estaba, ni como vestía. El violador eres tu. Vestía Pijama, Vestía uniforme escolar, Vestía short, Vestía jeans",696,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
85,"Respetar solamente a las mujeres que te atraen, no es respetar a las mujeres",2526,0,Panama,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
86,La que no enseña no vende. Mi exito laboral no depende de mi escote No discimines,226,0,Panama,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
87,Los violadores existian antes de las minifaldas,62,0,"Catalunya, España",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
88,Mamá por que no vamos a la iglesia? Porque en los tiempos dificiles te necesito de pie no de rodillas. En mi cuerpo no hay vaticano ni machista que me meta mano,344,0,"Catalunya, España ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
89,Nos sentimos indefensas en todos los ambitos. No confiamos en la justicia,115,0,"Madrid, España",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
90,Smash the patriarchy,213,0,"Catalunya, España ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
91,Así nos quieren los machirulos de VOX,1036,0,"Catalunya, España",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
92,Acabo de pegarle 70 puñaladas a mi mujer. Una mas y te acusan de ensañamiento. No os preocupeis el patriarcado todo lo hace desde el cariño.,113,0,"Catalunya, España",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
93,Una mujer perdió el bebe de una paliza que le propinio su novio estaba emabarazada de 8 meses en Valladolid,165,0,"Catalunya, España",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
94,"Como hiciste para volar? Toque fondo. Para paralizar los asesinatos machistas, lo primero no culpabilizar a la maltratada, para no convertirnos en maltartadores, ejerciendo violencia secundaria. ",1622,0,"Catalunya, España",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
95,Si te dicen que tienes mucho caracter porque...no te callas las cosas...te enfadas si algo no te parece bien.. luchas por lo que quieres,635,0,"Catalunya, España",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
96,La comida! Por segundo año consecutivo las calles se llenaron este 8M,1043,0,"Catalunya, España",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
97,Que las chicas no podemos hacer que?,2883,0,"Catalunya, España",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
98,"Callate. Hace casi un año que esta idea  para fotografia ronda en mi mente, por fin pude vomitarla ",605,0,España ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
99,No aguantes. Vete,885,0,España ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
100,"Porque al fin  y al cabo el miedo de la mujer a la violencia del hombre, es el espejo del miedo del hombre a la mujer sin miedo.",558,0,"Madrid, España",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
101,Ni una menos. Nos queremos aquí. Todas.Vivas. Dignas. Posibles,733,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
102,Me rehuso a vivir con miedo,1299,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
103,Feminismo y Machismo no son extremos de una misma cosa,1263,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
104,Jassi y James de pokemon rompiendo los patrones de genero,84,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
105,"Mientras ustedes se cagan de risa del ""y la culpa no era mia"" hoy en Lujan un achica de 17 años fue violada por 7 hombres, despues nos dicen exageradas",2418,0,Argentina,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
106,Una joven denuncia una agresión sexual mientras estaba ingresada en el hospital de puerto real  Cadiz,0,0,España ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
107,Un hombre viola a una joven en plena calle de Barcelona en presencia de otros 4,0,0,"Barcelona, España",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
108,Detenido un hombre por asesinar a su pareja en Barcelona ,220,0,"Barcelona, España",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
109,Condenados por abuso sexual y no por agresión los acusados de violar por turnos a una menor en Manresa: El Tribunal señala que los investigados no tuvieron que recurrir a la violencia  porque la joven estaba inconsciente ,422,0,"Catalunya, España",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
110,Ensayo para navidad volumen 1 ,0,83416,desconocido,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111,"Querido Santa. Te pido que de una vez por todas se entienda que las feministas no odiamos a los hombres, y que la igualda solo se conseguira si trabajamos todos juntos",1851,0,España ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
112,Japon. Periodista simbolo del movimiento #metoo gana juicio por violacion ,356,0,España ,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
113,La diversidad es lo mas rico que tenemos como seres humanos ,328,0,España ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
114,"""Yo no la vi ebria"" Unico acusado como responsable en el caso Antonia Barra dio su versión de los hechos. Justica para Antonia!",328,0,España ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
115,Estudio acusa cascos azules de la ONU de abusar sexualmente de cientos de niñas durante mision de paz en Haiti,564,0,España ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
116,Voy contigo. En enero estara disponbible la aplicación que emite un boton de panico para mujeres en situación de peligro,870,0,España ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
117,Condenan en Italia a cinco jovenes que violaron a una turista de 50 años y lo grabaron con el movil,0,0,España ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
118,Francia aprobaria el uso de la pulsera antiacercamiento contra violencia conyugal,378,0,España ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
119,FederaciónMexicana de Futbol sancionó a jugadores del America Sub17 que se burlaron de la intervención de Las Tesis Un violador en tu camino,317,0,Mexico,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
120,1 de cada 5 mujer refugiada o deplazada en un contexto humanitario complejo ha sufrido villencia sexual,224,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
121,99.5 toachive gender equality,12260,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
122,Lavar cocinar planchar no es amor es trabajo no pagado,1169,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
123,Violencia no es  solo un golpe,997,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
124,Estan tan mal vistos los pelos corporales femeninos que... en los comerciales las mujeres se depilan ya depiladas,8882,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
125,Recordamos a todas las mujeres asesinadas y el dolor de su familia ,3681,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
126,"Ley que priva a las mujeres, vestir, hablar y trabajar con libertad fue anulada en Sudán. ",1193,0,Panamá ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
127,Todo lo que no tenes que hacer frente a una situaciónm de violencia de genero,0,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
128,El silencio te hace complice si lo detectas no  te calles,1008,0,"Medellin, Colombia",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
129,Las asesinaron por estar en contra de la dictadura. ,3582,0,Republica Dominicana,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
130,Todas las desgracias del mundo provienen del olvido y le desprecio que hasta hoy se ha hecho de los derechos naturales e imprescindibles de ser mujer,1269,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
131,Feminicidios: En 2019 2833 mujeres han sido asesinadas en Mexico,1282,0,"Ciudad de México, Mexico",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
132,Un violador en tu camino ha llegado hasta la India,4813,0,"Catalunya, España",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
133,Una mujer sin depilar es como un hombre sin depilar,1663,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
134,Tía os quiero mucho. Sororidad en estos días. ,1210,0,"Catalunya, España",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
135,Feminicidio. Lunes con L de Lucha feminista ,548,0,"Barcelona, España",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
136,El hombre el el unico animal que maltrata  a las hembras de su especie ,1720,0,"Barcelona, España",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
137,No todas correremos con la suerte. ,1310,0,"Barcelona, España",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
138,Que haber nacido nena no sea una condena,258,0,"Barcelona, España",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
139,Las mujeres pueden tener pelos en cualquier parte donde un hombre tenga ,932,0,"Barcelona, España",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
140,"Violencia politica. Callese diputada que va a saber usted de eso. Loca histerica, yegua tranquilizate. ",572,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
141,"La buscamos por años, exigimos justicia",464,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
142,Feminismo ni un paso atrás ,702,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
143,Que te pasa esta mestruando? No simplemente no te soporto.,537,0,"Barcelona, España",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
144,Un maltratador nunca será un buen padre,1025,0,"Barcelona, España",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
145,Stop violencia machista. 52 mujeres has sido asesinadas en lo que va del año,1785,0,"Barcelona, España",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
146,Acid at skin hair and bones. Stronger than acid,2130,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
147,"Oh darling your not hugly, society is",3023,0,"Miami, USA",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
148,One word Beutifull! Acid attack,865,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
149,A survivor of violence,878,0,India,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
150,The victim is now under treatment #acidatack,691,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
151,Burnt as a baby by his father,805,0,India,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
152,Your support can bring back to girls who have survied,7587,0,Combaitore,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
153,Another atack Are they human?  #stop,941,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
154,This is an acid attack survivor #stop,16299,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
155,Our aim is to stop violence agains women and children,1238,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
156,Good morning friends! #womenempowerment,2862,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
157,A pain makes a women powerfull #motivation,4184,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
158,"He change her face, not her heart",5798,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
159,Stop acid attacks,1238,0,India,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
160,Reel & Real Aplause to the prostetic team!,18133,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
